Total Words Loaded,
Outer Iterations,1
Cross Validation:,10
Features Used: ,ngrams,word,texttype,liwc


Artifact
,precision,recall,f1-score,support
Artifact,0.77436281823495856,0.81059051037693164,0.79173579079979972,407.80000000000001
None,0.80093372526023199,0.76213335978081953,0.78067046172126653,406.19999999999999

Accuracy,0.78660933660933652


Person
,precision,recall,f1-score,support
None,0.84450924390694981,0.84913786451934214,0.84678215421735781,1493.0
Person,0.84696563161747052,0.84231198134333152,0.84459589070165753,1480.0

Accuracy,0.84571140262361255


Location
,precision,recall,f1-score,support
Location,0.90023358774907236,0.89249263243372035,0.89631531414369525,1702.5999999999999
None,0.89366810684594944,0.9014361479342321,0.89750457339457645,1708.4000000000001

Accuracy,0.89692172383465252


Facility
,precision,recall,f1-score,support
Facility,0.81158347431759059,0.84344335597168563,0.82687721228099176,460.39999999999998
None,0.83683428066289545,0.80379800077755326,0.819615751888638,459.60000000000002

Accuracy,0.8234782608695651


Organization
,precision,recall,f1-score,support
None,0.82641088645429084,0.82593314445457611,0.82608270606922363,523.10000000000002
Organization,0.83134546038719037,0.83174564347479496,0.83146490683031238,539.89999999999998

Accuracy,0.82888052681091262


