Total Words Loaded,
Outer Iterations,1
Cross Validation:,10
Features Used: ,ngrams,word,texttype,liwc


Artifact
,precision,recall,f1-score,support
Artifact,0.7821468912106746,0.8039155476275589,0.79282457798756245,409.39999999999998
None,0.79581349337665352,0.77305487911002346,0.78419953525876329,404.60000000000002

Accuracy,0.78882063882063869


Person
,precision,recall,f1-score,support
None,0.83785505008028971,0.85289059002845258,0.84525837583778007,1482.7
Person,0.85098820578864076,0.83573767209998784,0.84324524620264418,1490.3

Accuracy,0.84426505213588965


Location
,precision,recall,f1-score,support
Location,0.90538950301711041,0.8979723502189032,0.90162302829487562,1710.8
None,0.89818925385722925,0.90556239056626053,0.90181854984057741,1700.2

Accuracy,0.90172969803576675


Facility
,precision,recall,f1-score,support
Facility,0.82878378760609217,0.84666411030203348,0.83742583407515736,463.10000000000002
None,0.84100284162236782,0.8227503682531575,0.83155862303957429,456.89999999999998

Accuracy,0.83456521739130429


Organization
,precision,recall,f1-score,support
None,0.83326415723401026,0.83019014737912866,0.8316594224213969,524.39999999999998
Organization,0.83527302252199898,0.83812382463864432,0.83664064105212288,538.60000000000002

Accuracy,0.8343367826904986


