Total Words Loaded,10000
Outer Iterations,15
Cross Validation:,10
Features Used: ,ngrams,word,texttype,liwc


Artifact
,precision,recall,f1-score,support
Artifact,0.70756176554067207,0.74142562527759759,0.72209736120603008,77.726666666666659
None,0.72338687234262877,0.68665524469674755,0.70224889329176721,76.273333333333341

Accuracy,0.7134199134199134


Person
,precision,recall,f1-score,support
None,0.79859747201789089,0.80195746559501013,0.79986775525123643,254.00666666666666
Person,0.7988961990554535,0.79534035575277295,0.79669420577961814,250.99333333333334

Accuracy,0.7984818481848186


Location
,precision,recall,f1-score,support
Location,0.8765023360406069,0.86796806963491346,0.87203114915321867,313.95333333333332
None,0.8688710350152149,0.8774425861570746,0.87295327112963617,313.04666666666668

Accuracy,0.87262094630515674


Facility
,precision,recall,f1-score,support
Facility,0.75499969979327453,0.75914583248617118,0.75577515297736819,83.599999999999994
None,0.75406515492359183,0.7501256650218403,0.75075919630088428,82.400000000000006

Accuracy,0.75413654618473902


Organization
,precision,recall,f1-score,support
None,0.81977977250841394,0.81998179042599451,0.81905251825842484,101.86666666666666
Organization,0.82076015298880012,0.82019226622059127,0.8196295591059285,102.13333333333334

Accuracy,0.81986928104575163


