Total Words Loaded,
Outer Iterations,1
Cross Validation:,10
Features Used: ,ngrams,word,texttype,liwc


Artifact
,precision,recall,f1-score,support
Artifact,0.76272773895339163,0.7943500276201364,0.77804925679931736,406.39999999999998
None,0.78597035104413648,0.75351153289221129,0.76921615502010687,407.60000000000002

Accuracy,0.7738329238329239


Person
,precision,recall,f1-score,support
None,0.8379325472969098,0.84645743761357206,0.84215593106916342,1478.5
Person,0.84656711015476538,0.83809777428046373,0.84229428352803715,1494.5

Accuracy,0.84224688866464859


Location
,precision,recall,f1-score,support
Location,0.90122982888257075,0.89926027219303584,0.90022361746383373,1717.5999999999999
None,0.89810251160657373,0.90004293236861432,0.89905101900891304,1693.4000000000001

Accuracy,0.89964819700967458


Facility
,precision,recall,f1-score,support
Facility,0.83147965953378722,0.83792839247748907,0.83452410452374459,466.89999999999998
None,0.83141664731827092,0.82456731304507946,0.82779934282430445,453.10000000000002

Accuracy,0.83130434782608698


Organization
,precision,recall,f1-score,support
None,0.84347498357588768,0.83543341208132182,0.83929736207309857,540.5
Organization,0.83170564150356951,0.83975214349674021,0.83557040685486206,522.5

Accuracy,0.83753527751646284


