Total Words Loaded,
Outer Iterations,1
Cross Validation:,10
Features Used: ,ngrams,word,texttype,liwc


Artifact
,precision,recall,f1-score,support
Artifact,0.58576472057361306,0.3230991252097743,0.41576023302659548,403.80000000000001
None,0.98014182172378939,0.99314577998940301,0.98660027263542049,13582.200000000001

Accuracy,0.97380237380237378


Person
,precision,recall,f1-score,support
None,0.95846004281352004,0.97815371373209392,0.96820520561607903,12504.700000000001
Person,0.77685700228341414,0.6421836818592922,0.7030475004620198,1481.3

Accuracy,0.94256399256399237


Location
,precision,recall,f1-score,support
Location,0.82899782912741871,0.7507003358513179,0.7878695612430584,1716.2
None,0.9655884954259033,0.97833716777172197,0.97192021283097996,12269.799999999999

Accuracy,0.95040755040755054


Facility
,precision,recall,f1-score,support
Facility,0.71795229548551931,0.43708235733166606,0.54311541797396157,459.5
None,0.98113274173352116,0.99417484911733689,0.98761029191539063,13526.5

Accuracy,0.97587587587587588


Organization
,precision,recall,f1-score,support
None,0.97697714167046712,0.99323616522765867,0.98503880274516997,13453.5
Organization,0.70542183115307888,0.40841281802528062,0.5167839597412559,532.5

Accuracy,0.97097812097812108


