Total Words Loaded,
Outer Iterations,1
Cross Validation:,10
Features Used: ,word,ngrams,texttype,all_liwc


Artifact
,precision,recall,f1-score,support
Artifact,0.75910550190963932,0.80230435094750985,0.78000073882094345,404.5
None,0.79333666795364832,0.74857082647117568,0.7701796455896367,409.5

Accuracy,0.7753071253071252


Person
,precision,recall,f1-score,support
None,0.84845182384382556,0.85060118572652321,0.84946869396167612,1482.5999999999999
Person,0.8509029543528458,0.84878990884840211,0.84978788327400279,1490.4000000000001

Accuracy,0.84964682139253278


Location
,precision,recall,f1-score,support
Location,0.90371977895634326,0.90376385118235769,0.90369863809780282,1701.7
None,0.9041760685035326,0.90427589850018264,0.90418325463200999,1709.3

Accuracy,0.90395778364116097


Facility
,precision,recall,f1-score,support
Facility,0.81964310333499724,0.84544290349955309,0.83211249016135136,465.5
None,0.83619471967550285,0.809694886333302,0.82249402832606999,454.5

Accuracy,0.82750000000000001


Organization
,precision,recall,f1-score,support
None,0.83379814232502536,0.82244916960219516,0.82783662666638969,531.0
Organization,0.82500973321085935,0.83638892896234562,0.83041173046019223,532.0

Accuracy,0.8292568203198496


