Total Words Loaded,
Outer Iterations,1
Cross Validation:,10
Features Used: ,word,ngrams,texttype,liwc


Artifact
,precision,recall,f1-score,support
Artifact,0.77329157176987573,0.79127963903933907,0.78204268600508053,410.5
None,0.78232590490755805,0.76376823268349203,0.77278892157130241,403.5

Accuracy,0.77764127764127755


Person
,precision,recall,f1-score,support
None,0.84528144793643101,0.85729351307500679,0.85121270220450795,1481.0
Person,0.85627986413287061,0.84426528583075233,0.85019824953819012,1492.0

Accuracy,0.85072317524386132


Location
,precision,recall,f1-score,support
Location,0.9003730138602547,0.89683313376133567,0.89857498605977482,1699.0
None,0.89800401154893295,0.90153795419344962,0.89974274636922957,1712.0

Accuracy,0.89917912635590747


Facility
,precision,recall,f1-score,support
Facility,0.830095255859435,0.83358876754014111,0.83156830538805626,460.19999999999999
None,0.83317281187823622,0.82901806623887819,0.83080190757887118,459.80000000000001

Accuracy,0.83130434782608698


Organization
,precision,recall,f1-score,support
None,0.84621690647371572,0.82507165570853824,0.83525958915612841,532.79999999999995
Organization,0.8284704497986729,0.84930467954012434,0.83851355855502041,530.20000000000005

Accuracy,0.83697083725305732


